movie_id,predicted_rating,movie_title
483,4.803661346435547,Casablanca (1942)
408,4.798072338104248,"Close Shave, A (1995)"
1449,4.632718086242676,Pather Panchali (1955)
313,4.579313278198242,Titanic (1997)
1158,4.577495574951172,"Fille seule, La (A Single Girl) (1995)"
736,4.50870418548584,Shadowlands (1993)
493,4.503476142883301,"Thin Man, The (1934)"
923,4.4904632568359375,Raise the Red Lantern (1991)
633,4.489809036254883,"Christmas Carol, A (1938)"
316,4.464408874511719,As Good As It Gets (1997)
