0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-0.17702895,0.23724246,-0.1110357,1.4603239,1.1571742,-0.35342252,1.1305501,-0.18979566,-1.8024757,-0.3510299,-0.21759224,-1.5538839,0.42974162,0.53718,1.5048686,-0.429742,1.3701935,-0.42863324,0.5536574,0.65415066,-1.4490957,1.4467787,0.07716891,0.24226277,-2.1358297,0.24691832,1.7279595,-0.61343104,-2.2367346,0.08626807,-0.3195673,0.16206335,-1.0134115,0.59884155,1.2113065,1.458784,-1.0754827,-1.5283642,-0.7192794,-0.05248349,-0.97245187,-1.8083853,-1.0838085,0.7307923,1.523976,1.945174,-1.5545082,0.15927508,2.535056,-0.5306151
-0.5640481,-0.845814,-0.8635329,-0.14446157,-0.8177258,-2.111898,-1.5457959,-1.1831343,-1.5875521,-0.74167746,-1.0287853,-1.5749602,-0.4152064,-0.4030833,2.1177905,1.6152312,-0.20054026,-1.9017026,-0.37960294,2.4184313,0.6629051,0.34465653,1.3137861,-0.3657953,-1.6592888,0.3638664,0.5810108,-0.44882324,-1.1038774,-0.9003816,-0.6637309,-0.13568263,0.61934733,-1.584009,0.62768626,2.1695514,-0.43636733,0.7037769,-0.5541624,1.1667328,0.6673628,-1.1764978,0.7758105,0.22604778,0.82072115,0.3162649,-2.475954,2.0672696,1.3113946,-0.6742258
1.0542797,-0.87290686,1.3122681,-1.552998,0.8522813,1.0536132,-2.347965,1.0719857,-1.3349243,-0.11550434,1.2866337,0.6651221,-1.6338632,-0.9686329,0.10061868,-0.5806363,-0.04687862,-0.7187624,-0.71367234,1.8631027,-1.4883617,-0.39912775,0.11033246,0.20233491,-0.1747198,0.39295343,-1.1526504,1.3029891,-1.5474595,-0.7031663,0.5486272,-1.8221978,0.8457522,0.063412786,-0.7756837,0.045583263,-0.4861879,0.55454886,-1.1567173,-0.21209012,-0.28976953,2.269628,1.5076326,0.8640589,1.3334737,-0.39793164,2.2454371,0.72626305,0.4869975,-0.035582285
-1.1751027,-1.5941886,-1.0011812,0.023901425,-0.56956565,-0.84539354,-0.92032355,0.15109278,0.19789612,1.2144923,0.1124255,1.2713969,2.3814528,-0.057632968,2.214707,0.5852041,0.31326026,-0.8918964,3.2512114,-1.8099309,-3.1442957,-0.47831056,-1.6743646,1.3624498,-0.7268412,-1.2369812,-0.026215566,-0.7064369,-1.9144398,0.87404966,0.5873728,-0.44340646,0.09378205,-0.3697644,0.36866447,-0.5095074,1.2547587,-1.6080602,1.089877,-0.40640712,-0.3320758,1.0427216,2.0960295,0.17787091,-0.04734643,-1.2491033,-0.0697997,0.21509084,-0.3216092,0.5100277
-0.026112223,0.30437365,0.67975605,0.9080895,1.7984684,0.2421004,-0.07513167,-0.36956584,-0.8479716,-0.85081077,0.94091177,-0.26707014,-0.44455895,-0.5989102,0.6561555,1.2791387,0.5716559,1.6381902,0.36165315,-1.7720413,1.5369612,0.43679884,-0.59953445,0.071463145,-1.555031,-0.07253447,-0.0025518774,1.4719176,0.09925056,0.9389832,-1.0453225,-0.97076076,-0.90132725,-0.09602632,-0.71733004,2.0092862,-1.0017171,0.28252724,0.30084524,-0.20790465,-0.5742939,0.469376,1.3869946,1.6282834,-0.85206014,-0.59686536,1.4394679,0.567118,0.5195371,0.9638153
0.06643108,1.2457093,1.6632732,1.264298,-1.2563916,0.32830602,-0.82540655,0.8458119,-0.91464674,-1.424497,0.035421465,0.74879885,-0.12611616,-0.7388747,-1.7943027,-1.4087464,1.2470908,-1.9887338,-1.2953231,-0.48648784,-1.045706,-0.7521469,-0.72042346,2.530465,-0.87767965,-1.2080839,-1.0982474,-2.1531463,1.0476403,0.5572763,2.2014399,0.5808279,-0.5864794,0.5380425,-0.23298673,0.26347622,-0.8582263,0.88315845,1.5168492,0.060611784,0.29815084,0.71771765,-0.987588,0.87584305,-0.124692075,1.1302944,0.3455589,-1.1307085,0.410369,0.723324
-0.12638023,-1.7212055,-0.3151729,-0.20815292,-0.5770172,0.6305084,1.134726,1.3463982,0.25656137,-0.24185723,-0.7434212,-0.29495788,0.90587986,-1.045097,-0.38722652,0.27247506,-1.1455104,-0.38148907,-2.131781,0.6790389,0.5565334,0.12601376,1.2059335,0.60493135,-0.9021389,1.2265637,1.0542665,1.2025892,0.58264,1.2468095,-1.2785072,0.7463954,-0.07739404,-0.7762469,0.21001382,0.1320904,-0.35642496,0.603352,0.009323286,-1.2912186,1.157854,-0.51586413,0.5262344,1.3105682,-0.9780474,-0.079934545,-0.36593163,-0.24155343,-0.13215011,1.3116066
-0.5568381,-0.9904306,1.974779,-1.0535907,-0.0797825,-0.07053042,0.54308814,-1.0912741,-0.8541249,-0.08830455,0.07446827,-1.9109184,0.0072230166,0.10485725,-1.6105059,1.2288327,-0.31834596,1.5585124,0.82646185,-1.0773765,-0.9918053,-0.23177522,-0.79188573,-1.1280758,0.021625245,0.47392878,-0.7523048,0.99876505,0.13787219,-0.40186203,-1.37061,1.1665444,1.0371435,0.027027115,-0.0011864974,2.2994378,1.1792557,-0.3950676,-0.37228364,-0.04320665,-0.9639105,-0.96101207,0.38284868,-2.8663313,-0.77839327,-0.19900683,0.02747415,-1.1956751,-0.8032612,0.45378178
-0.28684184,-0.15579662,1.1498574,-0.05119428,1.0466156,0.5845144,-0.35975364,1.3129246,-0.56399876,-1.5310175,-0.8969757,-0.50493723,0.5116104,0.27624252,-0.5770349,1.1621917,0.13791242,0.17739826,1.6452918,2.4118223,-0.42763543,-0.77483124,1.2074604,0.13671339,-0.76321477,0.5175584,0.31790093,1.2065483,-0.25498527,-0.5203736,-1.3759102,0.29074118,1.016249,-0.60060436,1.03834,-1.0060158,1.3178294,-0.6820592,1.0710897,-1.202101,1.1124198,-1.3966843,0.7036669,-0.15259853,-1.7853906,-0.2629588,0.40186775,-1.8048774,0.47169727,1.7374529
-1.1588179,0.6756001,-0.29582787,-1.7049395,-0.08808628,0.1559668,0.79283595,0.6134047,-0.4208301,-1.0653889,-0.0011962489,2.3954334,-0.3147862,-1.0594754,0.48406136,-0.839346,-0.23732272,-1.0081612,-0.6470133,-0.33521873,-1.8265789,0.08890886,0.5350504,-1.6356971,0.83639914,-0.4646567,-1.7313437,0.87553346,-0.14929608,0.6666675,0.64674115,1.7911754,0.57065505,0.5502005,-1.5416632,0.23525764,0.4468368,0.67531943,-0.17230535,-0.4256595,-0.28391495,0.34175238,0.63746774,-0.3962089,-1.2895631,-0.008417407,1.5225495,2.8928883,-1.9136664,0.6956908
